Sat Mar 21 11:21:43 2020,	 201.0,	 0.00000,	 0.42000,	 -7.77000,	 1.55000,	 -1.79000,	 -5.00000,	 -1.22000,	1	
Sat Mar 21 11:21:44 2020,	 202.0,	 0.00000,	 0.46000,	 -7.84000,	 1.57000,	 -2.39000,	 -4.03000,	 -1.89000,	1	
Sat Mar 21 11:21:44 2020,	 203.0,	 0.00000,	 0.46000,	 -7.73000,	 1.53000,	 -2.11000,	 -4.52000,	 -1.47000,	1	
Sat Mar 21 11:21:44 2020,	 204.0,	 0.00000,	 0.41000,	 -7.81000,	 1.54000,	 -2.32000,	 -4.38000,	 -2.01000,	1	
Sat Mar 21 11:21:45 2020,	 205.0,	 0.00000,	 0.28000,	 -7.75000,	 1.34000,	 -3.09000,	 -7.01000,	 1.47000,	1	
Sat Mar 21 11:21:45 2020,	 206.0,	 0.00000,	 0.95000,	 -7.67000,	 1.90000,	 -3.17000,	 -0.35000,	 -12.99000,	1	
Sat Mar 21 11:21:46 2020,	 207.0,	 0.00000,	 0.58000,	 -7.75000,	 1.54000,	 -2.26000,	 -3.60000,	 0.27000,	1	
Sat Mar 21 11:21:46 2020,	 208.0,	 0.00000,	 0.38000,	 -7.80000,	 1.37000,	 -2.40000,	 -4.21000,	 -0.95000,	1	
Sat Mar 21 11:21:47 2020,	 209.0,	 0.00000,	 0.40000,	 -7.77000,	 1.29000,	 -2.23000,	 -4.15000,	 -0.75000,	1	
Sat Mar 21 11:21:47 2020,	 210.0,	 0.00000,	 0.39000,	 -7.78000,	 1.46000,	 -2.58000,	 -4.39000,	 -0.85000,	1	
Sat Mar 21 11:21:53 2020,	 225.0,	 0.00000,	 -7.85000,	 -0.76000,	 -0.86000,	 -3.25000,	 -5.26000,	 -2.57000,	2	
Sat Mar 21 11:21:54 2020,	 226.0,	 0.00000,	 -7.94000,	 -0.80000,	 -0.84000,	 -1.24000,	 -4.15000,	 -0.87000,	2	
Sat Mar 21 11:21:54 2020,	 227.0,	 0.00000,	 -7.83000,	 -0.80000,	 -0.92000,	 -2.87000,	 -5.27000,	 -1.51000,	2	
Sat Mar 21 11:21:54 2020,	 228.0,	 0.00000,	 -7.78000,	 -0.57000,	 -0.98000,	 -4.39000,	 -10.11000,	 0.36000,	2	
Sat Mar 21 11:21:55 2020,	 229.0,	 0.00000,	 -7.82000,	 -0.58000,	 -0.88000,	 -3.13000,	 -5.16000,	 -0.19000,	2	
Sat Mar 21 11:21:55 2020,	 230.0,	 0.00000,	 -7.95000,	 -0.66000,	 -0.78000,	 -0.37000,	 -2.27000,	 3.95000,	2	
Sat Mar 21 11:21:56 2020,	 231.0,	 0.00000,	 -7.74000,	 -0.63000,	 -0.91000,	 -1.64000,	 -5.53000,	 -2.50000,	2	
Sat Mar 21 11:21:56 2020,	 232.0,	 0.00000,	 -7.86000,	 -0.70000,	 -0.96000,	 -2.34000,	 -4.86000,	 -2.67000,	2	
Sat Mar 21 11:21:57 2020,	 233.0,	 0.00000,	 -7.85000,	 -0.78000,	 -0.70000,	 -2.09000,	 -4.79000,	 -2.24000,	2	
Sat Mar 21 11:21:57 2020,	 234.0,	 0.00000,	 -7.93000,	 -0.71000,	 -0.66000,	 -1.76000,	 -4.50000,	 -2.26000,	2	
Sat Mar 21 11:21:57 2020,	 235.0,	 0.00000,	 -7.88000,	 -0.80000,	 -0.82000,	 -3.79000,	 -2.06000,	 0.86000,	2	
Sat Mar 21 11:21:58 2020,	 236.0,	 0.00000,	 -7.93000,	 -0.41000,	 -0.77000,	 -3.84000,	 -3.80000,	 2.25000,	2	
Sat Mar 21 11:21:58 2020,	 237.0,	 0.00000,	 -8.06000,	 -0.39000,	 -0.74000,	 -5.08000,	 1.63000,	 -6.53000,	2	
Sat Mar 21 11:21:59 2020,	 238.0,	 0.00000,	 -7.91000,	 -0.58000,	 -0.69000,	 0.30000,	 -7.26000,	 -2.19000,	2	
Sat Mar 21 11:21:59 2020,	 239.0,	 0.00000,	 -7.94000,	 -0.42000,	 -0.76000,	 -2.96000,	 -5.65000,	 -0.21000,	2	
Sat Mar 21 11:21:59 2020,	 240.0,	 0.00000,	 -7.92000,	 -0.36000,	 -0.71000,	 -3.24000,	 -3.54000,	 -3.50000,	2	
Sat Mar 21 11:22:00 2020,	 241.0,	 0.00000,	 -7.75000,	 -0.36000,	 -0.70000,	 -1.39000,	 -5.97000,	 -1.32000,	2	
Sat Mar 21 11:22:00 2020,	 242.0,	 0.00000,	 -7.94000,	 -0.37000,	 -0.66000,	 1.12000,	 -1.23000,	 6.24000,	2	
Sat Mar 21 11:22:01 2020,	 243.0,	 0.00000,	 -7.84000,	 -0.29000,	 -0.69000,	 -3.79000,	 -5.18000,	 -2.75000,	2	
Sat Mar 21 11:22:01 2020,	 244.0,	 0.00000,	 -7.83000,	 -0.28000,	 -0.43000,	 1.01000,	 -7.21000,	 -1.03000,	2	
Sat Mar 21 11:22:02 2020,	 245.0,	 0.00000,	 -7.80000,	 -0.30000,	 -0.56000,	 -2.06000,	 -3.51000,	 0.04000,	2	
Sat Mar 21 11:22:02 2020,	 246.0,	 0.00000,	 -7.96000,	 -0.17000,	 -0.42000,	 -0.02000,	 -4.99000,	 -1.16000,	2	
Sat Mar 21 11:22:02 2020,	 247.0,	 0.00000,	 -7.89000,	 -0.22000,	 -0.39000,	 -2.11000,	 -6.10000,	 0.29000,	2	
Sat Mar 21 11:22:03 2020,	 248.0,	 0.00000,	 -7.90000,	 -0.31000,	 -0.53000,	 -2.17000,	 -5.09000,	 -1.14000,	2	
Sat Mar 21 11:22:03 2020,	 249.0,	 0.00000,	 -7.88000,	 -0.29000,	 -0.63000,	 -2.95000,	 -4.43000,	 -2.29000,	2	
Sat Mar 21 11:22:04 2020,	 250.0,	 0.00000,	 -7.95000,	 -0.30000,	 -0.56000,	 -1.79000,	 -5.03000,	 -1.48000,	2	
Sat Mar 21 11:22:04 2020,	 251.0,	 0.00000,	 -7.88000,	 -0.32000,	 -0.51000,	 -1.94000,	 -4.25000,	 -1.47000,	2	
Sat Mar 21 11:22:04 2020,	 252.0,	 0.00000,	 -7.87000,	 -0.35000,	 -0.35000,	 -1.83000,	 -5.52000,	 -2.91000,	2	
Sat Mar 21 11:22:05 2020,	 253.0,	 0.00000,	 -7.96000,	 -0.38000,	 -0.53000,	 -2.37000,	 -4.05000,	 -2.08000,	2	
Sat Mar 21 11:22:05 2020,	 254.0,	 0.00000,	 -7.82000,	 -0.20000,	 -0.59000,	 -3.06000,	 -5.34000,	 -0.71000,	2	
Sat Mar 21 11:22:06 2020,	 255.0,	 0.00000,	 -7.90000,	 -0.25000,	 -0.63000,	 -2.27000,	 -4.26000,	 -1.36000,	2	
Sat Mar 21 11:22:06 2020,	 256.0,	 0.00000,	 -7.97000,	 -0.22000,	 -0.57000,	 -2.61000,	 -3.07000,	 -0.50000,	2	
Sat Mar 21 11:22:07 2020,	 257.0,	 0.00000,	 -7.97000,	 -0.10000,	 -0.54000,	 -2.92000,	 -3.53000,	 2.68000,	2	
Sat Mar 21 11:22:07 2020,	 258.0,	 0.00000,	 -7.80000,	 0.22000,	 -0.68000,	 -0.87000,	 -3.99000,	 -0.31000,	2	
Sat Mar 21 11:22:07 2020,	 259.0,	 0.00000,	 -7.90000,	 0.00000,	 -0.64000,	 -1.05000,	 -4.47000,	 -0.21000,	2	
Sat Mar 21 11:22:08 2020,	 260.0,	 0.00000,	 -7.87000,	 -0.01000,	 -0.69000,	 -1.78000,	 -5.15000,	 -0.53000,	2	
Sat Mar 21 11:22:08 2020,	 261.0,	 0.00000,	 -7.91000,	 -0.03000,	 -0.63000,	 -2.37000,	 -4.39000,	 -2.64000,	2	
Sat Mar 21 11:22:09 2020,	 262.0,	 0.00000,	 -7.85000,	 0.09000,	 -0.68000,	 -2.43000,	 -3.85000,	 -1.53000,	2	
Sat Mar 21 11:22:09 2020,	 263.0,	 0.00000,	 -7.88000,	 0.09000,	 -0.65000,	 -1.40000,	 -4.51000,	 0.13000,	2	
Sat Mar 21 11:22:09 2020,	 264.0,	 0.00000,	 -7.83000,	 0.11000,	 -0.60000,	 -2.18000,	 -4.66000,	 -0.08000,	2	
