Thu Mar 19 15:01:59 2020,	 415.0,	 0.00000,	 8.14000,	 -0.07000,	 -1.40000,	 -2.95000,	 -4.95000,	 -1.11000,	0	
Thu Mar 19 15:01:59 2020,	 416.0,	 0.00000,	 8.02000,	 -0.17000,	 -1.39000,	 -3.06000,	 -4.50000,	 -1.72000,	0	
Thu Mar 19 15:02:00 2020,	 417.0,	 0.00000,	 8.16000,	 -0.12000,	 -1.31000,	 -2.66000,	 -5.01000,	 -2.05000,	0	
Thu Mar 19 15:02:00 2020,	 418.0,	 0.00000,	 8.13000,	 -0.12000,	 -1.42000,	 -1.91000,	 -5.02000,	 -1.79000,	0	
Thu Mar 19 15:02:00 2020,	 419.0,	 0.00000,	 8.12000,	 -0.21000,	 -1.47000,	 -2.07000,	 -4.21000,	 -1.28000,	0	
Thu Mar 19 15:02:00 2020,	 420.0,	 0.00000,	 8.10000,	 -0.05000,	 -1.51000,	 -1.75000,	 -5.85000,	 -1.97000,	0	
Thu Mar 19 15:02:00 2020,	 421.0,	 0.00000,	 8.21000,	 -0.05000,	 -1.24000,	 -1.60000,	 -3.68000,	 0.24000,	0	
Thu Mar 19 15:02:01 2020,	 422.0,	 0.00000,	 8.09000,	 -0.08000,	 -1.31000,	 -1.62000,	 -3.34000,	 -1.08000,	0	
Thu Mar 19 15:02:06 2020,	 445.0,	 0.00000,	 -1.14000,	 -7.70000,	 0.85000,	 -1.96000,	 -3.72000,	 -0.08000,	1	
Thu Mar 19 15:02:06 2020,	 446.0,	 0.00000,	 -1.13000,	 -7.76000,	 0.80000,	 -3.19000,	 -4.73000,	 -2.61000,	1	
Thu Mar 19 15:02:06 2020,	 447.0,	 0.00000,	 -1.12000,	 -7.79000,	 0.88000,	 -1.57000,	 -7.53000,	 -1.61000,	1	
Thu Mar 19 15:02:06 2020,	 448.0,	 0.00000,	 -1.10000,	 -7.99000,	 0.96000,	 -3.07000,	 -4.83000,	 2.05000,	1	
Thu Mar 19 15:02:06 2020,	 449.0,	 0.00000,	 -1.11000,	 -7.83000,	 0.94000,	 0.80000,	 -2.54000,	 -3.56000,	1	
Thu Mar 19 15:02:07 2020,	 450.0,	 0.00000,	 -1.11000,	 -7.68000,	 1.04000,	 -2.40000,	 -4.02000,	 -1.15000,	1	
Thu Mar 19 15:02:07 2020,	 451.0,	 0.00000,	 -1.11000,	 -7.81000,	 1.11000,	 -1.53000,	 -5.26000,	 1.10000,	1	
Thu Mar 19 15:02:07 2020,	 452.0,	 0.00000,	 -1.03000,	 -7.77000,	 0.93000,	 -0.24000,	 -3.54000,	 0.50000,	1	
Thu Mar 19 15:02:07 2020,	 453.0,	 0.00000,	 -1.19000,	 -7.72000,	 0.80000,	 -2.44000,	 -5.75000,	 -0.03000,	1	
Thu Mar 19 15:02:08 2020,	 454.0,	 0.00000,	 -1.24000,	 -7.88000,	 1.01000,	 -0.82000,	 -3.79000,	 -0.95000,	1	
Thu Mar 19 15:02:08 2020,	 455.0,	 0.00000,	 -1.08000,	 -7.74000,	 1.00000,	 -1.60000,	 -4.99000,	 -2.04000,	1	
Thu Mar 19 15:02:08 2020,	 456.0,	 0.00000,	 -1.13000,	 -7.79000,	 1.06000,	 -0.68000,	 -3.17000,	 -1.83000,	1	
Thu Mar 19 15:02:08 2020,	 457.0,	 0.00000,	 -1.15000,	 -7.74000,	 1.00000,	 -1.13000,	 -4.15000,	 -0.17000,	1	
Thu Mar 19 15:02:08 2020,	 458.0,	 0.00000,	 -1.16000,	 -7.77000,	 1.17000,	 -2.02000,	 -5.03000,	 -1.63000,	1	
Thu Mar 19 15:02:09 2020,	 459.0,	 0.00000,	 -1.13000,	 -7.82000,	 1.21000,	 -1.73000,	 -4.97000,	 -1.54000,	1	
Thu Mar 19 15:02:09 2020,	 460.0,	 0.00000,	 -1.01000,	 -7.79000,	 1.17000,	 -1.49000,	 -2.21000,	 -4.59000,	1	
Thu Mar 19 15:02:09 2020,	 461.0,	 0.00000,	 -1.03000,	 -7.74000,	 1.11000,	 -2.02000,	 -3.38000,	 -1.60000,	1	
