Fri Mar 20 22:41:52 2020,	 225.0,	 0.00000,	 1.14000,	 0.53000,	 7.45000,	 -2.12000,	 -4.56000,	 -1.33000,	1	
Fri Mar 20 22:41:52 2020,	 226.0,	 0.00000,	 1.16000,	 0.52000,	 7.46000,	 -2.35000,	 -4.51000,	 -1.37000,	1	
Fri Mar 20 22:41:53 2020,	 227.0,	 0.00000,	 1.17000,	 0.51000,	 7.45000,	 -2.44000,	 -4.36000,	 -1.37000,	1	
Fri Mar 20 22:41:53 2020,	 228.0,	 0.00000,	 1.15000,	 0.50000,	 7.46000,	 -2.27000,	 -4.56000,	 -1.28000,	1	
Fri Mar 20 22:41:53 2020,	 229.0,	 0.00000,	 1.12000,	 0.50000,	 7.47000,	 -2.19000,	 -4.50000,	 -1.36000,	1	
Fri Mar 20 22:41:53 2020,	 230.0,	 0.00000,	 1.16000,	 0.50000,	 7.49000,	 -2.26000,	 -4.40000,	 -1.21000,	1	
Fri Mar 20 22:41:53 2020,	 231.0,	 0.00000,	 1.21000,	 0.52000,	 7.51000,	 -2.40000,	 -4.50000,	 -1.57000,	1	
Fri Mar 20 22:41:54 2020,	 232.0,	 0.00000,	 1.12000,	 0.46000,	 7.56000,	 -2.29000,	 -4.48000,	 -1.18000,	1	
Fri Mar 20 22:41:54 2020,	 233.0,	 0.00000,	 1.13000,	 0.46000,	 7.48000,	 -2.63000,	 -4.55000,	 -1.33000,	1	
Fri Mar 20 22:41:54 2020,	 234.0,	 0.00000,	 1.18000,	 0.56000,	 7.44000,	 -2.70000,	 -4.34000,	 -1.34000,	1	
Fri Mar 20 22:41:54 2020,	 235.0,	 0.00000,	 1.20000,	 0.51000,	 7.49000,	 -2.52000,	 -4.39000,	 -1.47000,	1	
Fri Mar 20 22:41:55 2020,	 236.0,	 0.00000,	 1.16000,	 0.43000,	 7.47000,	 -2.27000,	 -4.60000,	 -1.44000,	1	
Fri Mar 20 22:41:55 2020,	 237.0,	 0.00000,	 1.20000,	 0.48000,	 7.46000,	 -2.39000,	 -4.47000,	 -1.54000,	1	
Fri Mar 20 22:41:55 2020,	 238.0,	 0.00000,	 1.18000,	 0.47000,	 7.46000,	 -2.54000,	 -4.40000,	 -1.46000,	1	
Fri Mar 20 22:41:55 2020,	 239.0,	 0.00000,	 1.13000,	 0.50000,	 7.47000,	 -2.55000,	 -4.60000,	 -1.50000,	1	
Fri Mar 20 22:41:55 2020,	 240.0,	 0.00000,	 1.17000,	 0.47000,	 7.52000,	 -2.29000,	 -4.40000,	 -1.56000,	1	
Fri Mar 20 22:41:56 2020,	 241.0,	 0.00000,	 1.18000,	 0.52000,	 7.49000,	 -2.33000,	 -4.47000,	 -1.37000,	1	
Fri Mar 20 22:41:56 2020,	 242.0,	 0.00000,	 1.15000,	 0.51000,	 7.47000,	 -2.30000,	 -4.50000,	 -1.36000,	1	
Fri Mar 20 22:41:56 2020,	 243.0,	 0.00000,	 1.17000,	 0.47000,	 7.52000,	 -2.34000,	 -4.30000,	 -1.46000,	1	
Fri Mar 20 22:41:56 2020,	 244.0,	 0.00000,	 1.15000,	 0.51000,	 7.47000,	 -2.53000,	 -4.40000,	 -1.36000,	1	
Fri Mar 20 22:41:57 2020,	 245.0,	 0.00000,	 1.18000,	 0.50000,	 7.49000,	 -2.60000,	 -4.37000,	 -1.36000,	1	
Fri Mar 20 22:41:57 2020,	 246.0,	 0.00000,	 1.21000,	 0.50000,	 7.47000,	 -2.47000,	 -4.26000,	 -1.54000,	1	
Fri Mar 20 22:41:57 2020,	 247.0,	 0.00000,	 1.20000,	 0.52000,	 7.49000,	 -2.56000,	 -4.31000,	 -1.33000,	1	
Fri Mar 20 22:41:57 2020,	 248.0,	 0.00000,	 1.15000,	 0.51000,	 7.47000,	 -2.40000,	 -4.25000,	 -1.31000,	1	
Fri Mar 20 22:41:57 2020,	 249.0,	 0.00000,	 1.16000,	 0.48000,	 7.45000,	 -2.10000,	 -4.37000,	 -1.44000,	1	
Fri Mar 20 22:41:58 2020,	 250.0,	 0.00000,	 1.13000,	 0.55000,	 7.44000,	 -2.31000,	 -4.48000,	 -1.34000,	1	
Fri Mar 20 22:41:58 2020,	 251.0,	 0.00000,	 1.15000,	 0.47000,	 7.48000,	 -2.12000,	 -4.58000,	 -1.50000,	1	
Fri Mar 20 22:41:58 2020,	 252.0,	 0.00000,	 1.20000,	 0.52000,	 7.55000,	 -2.08000,	 -4.51000,	 -1.35000,	1	
Fri Mar 20 22:41:58 2020,	 253.0,	 0.00000,	 1.16000,	 0.47000,	 7.45000,	 -2.35000,	 -4.48000,	 -1.45000,	1	
Fri Mar 20 22:41:59 2020,	 254.0,	 0.00000,	 1.17000,	 0.44000,	 7.50000,	 -2.40000,	 -4.60000,	 -1.31000,	1	
Fri Mar 20 22:41:59 2020,	 255.0,	 0.00000,	 1.19000,	 0.53000,	 7.51000,	 -2.42000,	 -4.36000,	 -1.18000,	1	
Fri Mar 20 22:41:59 2020,	 256.0,	 0.00000,	 1.18000,	 0.50000,	 7.47000,	 -2.31000,	 -4.47000,	 -1.44000,	1	
Fri Mar 20 22:41:59 2020,	 257.0,	 0.00000,	 1.14000,	 0.46000,	 7.52000,	 -2.31000,	 -4.58000,	 -1.50000,	1	
Fri Mar 20 22:41:59 2020,	 258.0,	 0.00000,	 1.10000,	 0.49000,	 7.49000,	 -2.49000,	 -4.82000,	 -1.34000,	1	
Fri Mar 20 22:42:00 2020,	 259.0,	 0.00000,	 1.23000,	 0.52000,	 7.44000,	 -2.30000,	 -4.36000,	 -1.18000,	1	
Fri Mar 20 22:42:00 2020,	 260.0,	 0.00000,	 1.19000,	 0.49000,	 7.50000,	 -2.47000,	 -4.33000,	 -1.44000,	1	
Fri Mar 20 22:42:00 2020,	 261.0,	 0.00000,	 1.17000,	 0.50000,	 7.48000,	 -2.40000,	 -4.56000,	 -1.42000,	1	
Fri Mar 20 22:42:00 2020,	 262.0,	 0.00000,	 1.16000,	 0.49000,	 7.50000,	 -2.31000,	 -4.34000,	 -1.50000,	1	
Fri Mar 20 22:42:00 2020,	 263.0,	 0.00000,	 1.16000,	 0.46000,	 7.50000,	 -2.23000,	 -4.44000,	 -1.40000,	1	
Fri Mar 20 22:42:01 2020,	 264.0,	 0.00000,	 1.17000,	 0.46000,	 7.46000,	 -2.23000,	 -4.40000,	 -1.34000,	1	
Fri Mar 20 22:42:01 2020,	 265.0,	 0.00000,	 1.18000,	 0.49000,	 7.48000,	 -2.23000,	 -4.53000,	 -1.44000,	1	
Fri Mar 20 22:42:01 2020,	 266.0,	 0.00000,	 1.18000,	 0.51000,	 7.49000,	 -2.44000,	 -4.32000,	 -1.22000,	1	
Fri Mar 20 22:42:01 2020,	 267.0,	 0.00000,	 1.17000,	 0.52000,	 7.51000,	 -2.27000,	 -4.32000,	 -1.23000,	1	
Fri Mar 20 22:42:02 2020,	 268.0,	 0.00000,	 1.17000,	 0.55000,	 7.48000,	 -2.34000,	 -4.50000,	 -1.33000,	1	
Fri Mar 20 22:42:02 2020,	 269.0,	 0.00000,	 1.16000,	 0.49000,	 7.44000,	 -2.46000,	 -4.38000,	 -1.19000,	1	
Fri Mar 20 22:42:02 2020,	 270.0,	 0.00000,	 1.17000,	 0.48000,	 7.50000,	 -2.38000,	 -4.31000,	 -1.34000,	1	
Fri Mar 20 22:42:02 2020,	 271.0,	 0.00000,	 1.17000,	 0.49000,	 7.49000,	 -2.13000,	 -4.27000,	 -1.37000,	1	
